[2022-07-27 02:01:19,980] - [//] - (DEBUG) - (Syncify): Function - SettingUp & & Prepaths are set.
[2022-07-27 02:01:20,011] - [//] - (DEBUG) - (Syncify): Syncify downloadHandler module is imported.
[2022-07-27 02:01:20,011] - [//] - (DEBUG) - (Syncify): Imported all modules and packages.
[2022-07-27 02:01:20,011] - [//] - (DEBUG) - (Syncify): Getting (CLIENT_ID, CLIENT_SECRET)...
[2022-07-27 02:01:20,011] - [//] - (DEBUG) - (Syncify): Getting Token Access...
[2022-07-27 02:01:20,011] - [//] - (DEBUG) - (Syncify): Converted the CLIENT_ID and CLIENT_SECRET to Base 64.
[2022-07-27 02:01:20,011] - [//] - (DEBUG) - (Syncify): Sending a POST REQUEST to https://accounts.spotify.com/api/token for Token Acess...
[2022-07-27 02:01:20,026] - [//] - (DEBUG) - Starting new HTTPS connection (1): accounts.spotify.com:443
[2022-07-27 02:01:20,201] - [//] - (DEBUG) - https://accounts.spotify.com:443 "POST /api/token HTTP/1.1" 200 None
[2022-07-27 02:01:20,203] - [//] - (DEBUG) - (Syncify): Sent a POST REQUEST to https://accounts.spotify.com/api/token for Token Acess.
[2022-07-27 02:01:20,203] - [//] - (DEBUG) - (Syncify): Got (CLIENT_ID, CLIENT_SECRET).
[2022-07-27 02:01:20,207] - [//] - (DEBUG) - (Syncify): Deleting temporary files...
[2022-07-27 02:01:20,210] - [//] - (DEBUG) - (Syncify): Deleted '.mp4' and '.mp3' files.
[2022-07-27 02:01:20,211] - [//] - (DEBUG) - (Syncify): Deleted temporary files.
[2022-07-27 02:01:20,211] - [//] - (DEBUG) - (Syncify): Selecting command...
[2022-07-27 02:01:20,885] - [//] - (DEBUG) - (Syncify): Deleting temporary files...
[2022-07-27 02:01:20,885] - [//] - (DEBUG) - (Syncify): Deleted '.mp4' and '.mp3' files.
[2022-07-27 02:01:20,885] - [//] - (DEBUG) - (Syncify): Deleted temporary files.
[2022-07-27 02:01:20,885] - [//] - (DEBUG) - (Syncify): Selecting command...
[2022-07-27 02:01:22,489] - [//] - (DEBUG) - (Syncify): downloadPath = C:\Users\malek\Music
[2022-07-27 02:01:22,489] - [//] - (DEBUG) - (Syncify): > Downloading Playlists began...
[2022-07-27 02:01:22,489] - [//] - (DEBUG) - Starting new HTTPS connection (1): api.spotify.com:443
[2022-07-27 02:01:22,803] - [//] - (DEBUG) - https://api.spotify.com:443 "GET /v1/playlists/4eBoEZ89xY9nqcVigCBoaU HTTP/1.1" 200 None
[2022-07-27 02:01:22,851] - [//] - (INFO) - (Syncify): Downloading from : Feel my rage.
[2022-07-27 02:01:22,851] - [//] - (DEBUG) - Starting new HTTPS connection (1): api.spotify.com:443
[2022-07-27 02:01:23,273] - [//] - (DEBUG) - https://api.spotify.com:443 "GET /v1/tracks/0Y4vrkqydY3Ziiff8hvN6C HTTP/1.1" 200 None
[2022-07-27 02:01:23,288] - [//] - (DEBUG) - Starting new HTTPS connection (1): api.spotify.com:443
[2022-07-27 02:01:23,477] - [//] - (DEBUG) - https://api.spotify.com:443 "GET /v1/tracks/0Y4vrkqydY3Ziiff8hvN6C HTTP/1.1" 200 None
[2022-07-27 02:01:23,492] - [//] - (DEBUG) - (Syncify): Track already exists in your Music Library.
[2022-07-27 02:01:23,492] - [//] - (DEBUG) - Starting new HTTPS connection (1): api.spotify.com:443
[2022-07-27 02:01:23,681] - [//] - (DEBUG) - https://api.spotify.com:443 "GET /v1/tracks/5kdRTWzlnsoO9cuIH1b4Ls HTTP/1.1" 200 None
[2022-07-27 02:01:23,681] - [//] - (DEBUG) - Starting new HTTPS connection (1): api.spotify.com:443
[2022-07-27 02:01:23,869] - [//] - (DEBUG) - https://api.spotify.com:443 "GET /v1/tracks/5kdRTWzlnsoO9cuIH1b4Ls HTTP/1.1" 200 None
[2022-07-27 02:01:23,900] - [//] - (DEBUG) - (Syncify): Track already exists in your Music Library.
[2022-07-27 02:01:23,900] - [//] - (DEBUG) - Starting new HTTPS connection (1): api.spotify.com:443
[2022-07-27 02:01:24,073] - [//] - (DEBUG) - https://api.spotify.com:443 "GET /v1/tracks/4sGboaPTew40MgCvvgv7eV HTTP/1.1" 200 None
[2022-07-27 02:01:24,089] - [//] - (DEBUG) - Starting new HTTPS connection (1): api.spotify.com:443
[2022-07-27 02:01:24,277] - [//] - (DEBUG) - https://api.spotify.com:443 "GET /v1/tracks/4sGboaPTew40MgCvvgv7eV HTTP/1.1" 200 None
[2022-07-27 02:01:24,293] - [//] - (DEBUG) - (Syncify): (Youtube/Request) - Searching for spotify:track:4sGboaPTew40MgCvvgv7eV... 'youtubeDownloader' will search and download the track if found.
